#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered"
11,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Belgium,"List of cities in Belgium - Factbites",33,46,http://www.cheap-tickets-flights.com/air/cheap-flights_belgium_0.html,,"Cheap Flights to Belgium - list of Belgium cities",,Dofollow,,"2013-08-14 18:42:43","2018-06-20 08:49:17",,,0,0,
12,77,11,0,https://gust.com/companies/cheap-ticket-flights,"Cheap Ticket Flights | Tampa, FL, USA Startup",25,4,https://www.cheap-tickets-flights.com/,,cheap-tickets-flights.com,,Dofollow,,"2018-05-25 08:56:11","2018-05-25 08:56:11",,,0,0,
13,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Argentina,"List of cities in Argentina - Factbites",30,10,https://www.cheap-tickets-flights.com/air/cheap-flights_argentina_0.html,,"Cheap Flights to Argentina - list of Argentina cities :: Page-1",,Dofollow,,"2017-10-16 16:57:57","2018-06-22 01:31:15",,,0,0,
14,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Argentina,"List of cities in Argentina - Factbites",30,10,http://www.cheap-tickets-flights.com/air/cheap-flights_argentina_0.html,,"Cheap Flights to Argentina - list of Argentina cities :: Page-1",,Dofollow,,"2014-05-20 16:59:25","2018-06-22 01:31:15",,,0,0,
15,52,11,1,http://www.factbites.com/topics/Addis-Ababa,"Addis Ababa - Factbites",34,40,https://www.cheap-tickets-flights.com/addis-ababa.html,,"Discount Flight to Addis Ababa, Find Addis Ababa Tickets",,Dofollow,,"2018-01-05 06:55:08","2018-07-11 17:11:43",,,0,0,
16,52,11,1,http://www.factbites.com/topics/Addis-Ababa,"Addis Ababa - Factbites",34,40,http://www.cheap-tickets-flights.com/addis-ababa.html,,"Discount Flight to Addis Ababa, Find Addis Ababa Tickets",,Dofollow,,"2013-08-12 06:44:43","2018-07-11 17:11:43",,,0,0,
17,52,11,1,"http://www.factbites.com/topics/Big-Flats-(town),-New-York","Big Flats (town), New York - Factbites",27,33,https://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",,Dofollow,,"2018-04-17 00:46:01","2018-07-13 17:03:18",,,0,0,
18,52,11,1,"http://www.factbites.com/topics/Big-Flats-(town),-New-York","Big Flats (town), New York - Factbites",27,33,http://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",,Dofollow,,"2018-04-17 00:46:01","2018-07-13 17:03:18",,,0,0,
19,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Indonesia,"List of cities in Indonesia - Factbites",41,41,https://www.cheap-tickets-flights.com/air/cheap-flights_indonesia_0.html,,"Cheap Flights to Indonesia - list of Indonesia cities :: Page-1",,Dofollow,,"2017-09-28 21:36:09","2018-07-14 10:15:23",,,0,0,
20,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Indonesia,"List of cities in Indonesia - Factbites",41,41,http://www.cheap-tickets-flights.com/air/cheap-flights_indonesia_0.html,,"Cheap Flights to Indonesia - list of Indonesia cities :: Page-1",,Dofollow,,"2013-08-31 02:54:50","2018-07-14 10:15:23",,,0,0,
21,52,10,1,http://www.factbites.com/topics/Operation-Alsos,"Operation Alsos - Factbites",33,20,https://www.cheap-tickets-flights.com/cheap-flights_anadyr.html,,"Cheap Flights to Anadyr, Latest Russia Anadyr Deals",,Dofollow,,"2018-04-17 16:43:42","2018-07-03 12:40:56",,,0,0,
22,52,10,1,http://www.factbites.com/topics/Operation-Alsos,"Operation Alsos - Factbites",33,20,http://www.cheap-tickets-flights.com/cheap-flights_anadyr.html,,"Cheap Flights to Anadyr, Latest Russia Anadyr Deals",,Dofollow,,"2018-04-17 16:43:42","2018-07-03 12:40:56",,,0,0,
23,52,10,0,http://www.factbites.com/topics/Al-Jawf-province,"Al Jawf province - Factbites",15,30,https://www.cheap-tickets-flights.com/ar-riyad.html,,"Discount Flight to Ar Riyad, Find Ar Riyad Tickets",,Dofollow,,"2017-10-17 09:50:42","2018-03-23 00:49:21",,,0,0,
24,52,10,0,http://www.factbites.com/topics/Al-Jawf-province,"Al Jawf province - Factbites",15,30,http://www.cheap-tickets-flights.com/ar-riyad.html,,"Discount Flight to Ar Riyad, Find Ar Riyad Tickets",,Dofollow,,"2015-07-23 09:48:51","2018-03-23 00:49:21",,,0,0,
25,52,10,0,http://www.factbites.com/topics/British-Rail-Class-402,"British Rail Class 402 - Factbites",34,31,https://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",,Dofollow,,"2017-08-29 15:58:21","2018-03-24 09:15:58",,,0,0,
26,52,10,0,http://www.factbites.com/topics/British-Rail-Class-402,"British Rail Class 402 - Factbites",34,31,http://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",,Dofollow,,"2014-11-28 13:59:23","2018-03-24 09:15:58",,,0,0,
27,52,10,0,http://www.factbites.com/topics/Aboisso,"Aboisso - Factbites",10,42,https://www.cheap-tickets-flights.com/cheap-flights_aboisso.html,,"Cheap Flights to Aboisso",,Dofollow,,"2017-09-08 14:17:40","2018-03-24 01:08:16",,,0,0,
28,52,10,0,http://www.factbites.com/topics/Aboisso,"Aboisso - Factbites",10,42,http://www.cheap-tickets-flights.com/cheap-flights_aboisso.html,,"Cheap Flights to Aboisso",,Dofollow,,"2015-09-20 12:41:04","2018-03-24 01:08:16",,,0,0,
29,52,10,0,http://www.factbites.com/topics/List-of-cities-in-the-Falkland-Islands,"List of cities in the Falkland Islands - Factbites",27,31,https://www.cheap-tickets-flights.com/air/cheap-flights_falkland-islands_0.html,,"Cheap Flights to Falkland Islands - list of Falkland Islands cities",,Dofollow,,"2017-11-30 13:40:41","2018-03-12 15:03:46",,en,0,0,
30,52,10,0,http://www.factbites.com/topics/List-of-cities-in-the-Falkland-Islands,"List of cities in the Falkland Islands - Factbites",27,31,http://www.cheap-tickets-flights.com/air/cheap-flights_falkland-islands_0.html,,"Cheap Flights to Falkland Islands - list of Falkland Islands cities",,Dofollow,,"2017-10-09 11:08:32","2018-03-12 15:03:46",,en,0,0,
31,52,10,1,http://www.factbites.com/topics/Ljusnarsberg-Municipality,"Ljusnarsberg Municipality - Factbites",28,39,https://www.cheap-tickets-flights.com/cheap-flights_ljungby.html,,"Cheap Flights to Ljungby, Sweden Ljungby Airline Flights",,Dofollow,,"2018-02-24 00:25:18","2018-04-11 01:02:03",,,0,0,
32,52,10,1,http://www.factbites.com/topics/Ljusnarsberg-Municipality,"Ljusnarsberg Municipality - Factbites",28,39,http://www.cheap-tickets-flights.com/cheap-flights_ljungby.html,,"Cheap Flights to Ljungby, Sweden Ljungby Airline Flights",,Dofollow,,"2017-12-27 07:30:12","2018-04-11 01:02:03",,,0,0,
33,52,10,1,http://www.factbites.com/topics/Al-Jawf-Province,"Al Jawf province - Factbites",15,30,https://www.cheap-tickets-flights.com/ar-riyad.html,,"Discount Flight to Ar Riyad, Find Ar Riyad Tickets",,Dofollow,,"2017-09-28 16:30:39","2018-04-06 07:59:50",,,0,0,
34,52,10,1,http://www.factbites.com/topics/Al-Jawf-Province,"Al Jawf province - Factbites",15,30,http://www.cheap-tickets-flights.com/ar-riyad.html,,"Discount Flight to Ar Riyad, Find Ar Riyad Tickets",,Dofollow,,"2015-04-01 07:47:51","2018-04-06 07:59:50",,,0,0,
35,52,10,0,http://www.factbites.com/topics/Cheap-Seats,"Cheap Seats - Factbites",31,47,https://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",,Dofollow,,"2017-08-17 10:22:02","2018-03-04 21:47:01",,en,0,0,
36,52,10,0,http://www.factbites.com/topics/Cheap-Seats,"Cheap Seats - Factbites",31,47,http://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Air Tickets - Discounted Intenational Flight Deals - Travel Agency",,Dofollow,,"2015-06-29 00:20:37","2018-03-04 21:47:01",,en,0,0,
37,52,10,0,http://www.factbites.com/topics/Transmitter-Kalundborg,"Kalundborg Transmitter - Factbites",23,24,https://www.cheap-tickets-flights.com/cheap-flights_kalundborg.html,,"Cheap Flights to Kalundborg, Latest Denmark Kalundborg Deals",,Dofollow,,"2017-09-23 18:48:02","2018-03-07 10:31:31",,en,0,0,
38,52,10,0,http://www.factbites.com/topics/Transmitter-Kalundborg,"Kalundborg Transmitter - Factbites",23,24,http://www.cheap-tickets-flights.com/cheap-flights_kalundborg.html,,"Cheap Flights to Kalundborg, Latest Denmark Kalundborg Deals",,Dofollow,,"2015-06-20 11:40:59","2018-03-07 10:31:31",,en,0,0,
39,52,10,1,http://www.factbites.com/topics/Mun-Tsai-Tong,"Mun Tsai Tong - Factbites",32,33,http://www.cheap-tickets-flights.com/cheap-flights_mong-tong.html,,"Cheap Flights to Mong Tong, Latest Myanmar Mong Tong Deals",,Dofollow,,"2018-04-09 02:05:59","2018-04-09 02:05:59",,,0,0,
40,52,10,0,http://www.factbites.com/topics/Chocen,"Chocen - Factbites",16,30,https://www.cheap-tickets-flights.com/cheap-flights_chocen.html,,"Cheap Flights to Chocen",,Dofollow,,"2017-10-21 17:36:12","2018-03-31 01:43:56",,,0,0,
41,52,10,0,http://www.factbites.com/topics/Chocen,"Chocen - Factbites",16,30,http://www.cheap-tickets-flights.com/cheap-flights_chocen.html,,"Cheap Flights to Chocen",,Dofollow,,"2017-04-05 10:41:28","2018-03-31 01:43:56",,,0,0,
42,52,10,1,http://www.factbites.com/topics/Alabat,"Alabat - Factbites",23,19,https://www.cheap-tickets-flights.com/cheap-flights_alabat.html,,"Cheap Flights to Alabat, Latest Philippines Alabat Deals",,Dofollow,,"2017-10-01 23:13:46","2018-04-06 13:53:51",,,0,0,
43,52,10,1,http://www.factbites.com/topics/Alabat,"Alabat - Factbites",23,19,http://www.cheap-tickets-flights.com/cheap-flights_alabat.html,,"Cheap Flights to Alabat, Latest Philippines Alabat Deals",,Dofollow,,"2017-03-21 15:37:49","2018-04-06 13:53:51",,,0,0,
44,64,10,0,http://www.statemaster.com/encyclopedia/Al-Jawf-Province,"StateMaster - Encyclopedia: Al Jawf Province",48,5,http://www.cheap-tickets-flights.com/ar-riyad.html,,"Discount Flight to Ar Riyad, Find Ar Riyad Tickets",,Dofollow,,"2013-08-16 09:15:45","2018-07-14 18:34:24",,en,0,0,
45,63,10,0,https://www.similarsites.com/site/au.edreams.com,"40 Similar Sites Like Au.edreams.com - SimilarSites.com",86,172,https://cheap-tickets-flights.com/,Cheap-Tickets-Flights,,,Nofollow,,"2018-01-06 13:39:11","2018-04-08 19:36:27",,en,0,0,
